ChatId	Query	FastAnswID	Etalon	FTScore	JacScore	TrueAnsw	
7257666	есть образец заполнения заявления на патент на услуги?	1111111	заявление на патент образец заполнения на транспортные услуги	0,95	no	1	1
7258187	Добрый день. В январе 2023 года заплатила НДФЛ платежным поручением - уведомлением.	1111111	платежное поручение вместо уведомления о начисленных ндфл в 2023 году	0,97	no	1	1
7264454	Нужно ли сдавать нулевой отчет по персонифицированным сведениям в 2023 году?	1111111	нужно ли сдавать нулевые персонифицированные сведения в 2023	0,97	no	1	1
7253516	КБК по уплате страховых взносов?	1111111	кбк для уплаты страховых взносов на травматизм.	0,98	no	1	1
7261050	Добрый день! по Земельному и имущественному налогу нужно за 2022 год подавать уведомление ?	1111111	нужно ли подавать уведомление по земельному налогу за 2022 год	0,96	no	1	1
7253092	нужно ли подавать уведомление по транспортному налогу за 2022 год для юридических лиц, если налог оплатили в 2022 году	1111111	нужно ли по транспортному налогу за 2022 год подавать уведомление	0,96	no	1	1
7262896	Добрый день. как отразить в справке-НДФЛ начисленную, но не выплаченную зарплату , вернее ндфл котрый не удержан ,тк зп не выплачена	1111111	2-ндфл зарплата начислена но не выплачена	0,95	no	1	1
7251250	Добрый день! Какой кбк указывать в уведомлении енп по страховым взносам	1111111	какой кбк указывать в уведомлении для страховых взносов	0,98	no	1	1
7260371	какой кбк по страховым взносам указать в уведомлении по енп	1111111	какой кбк указывать в уведомлении для страховых взносов	0,98	no	1	1
7252341	Добрый день! Какие КБК указать в уведомлении по страховым взносам за 2023г. Нужно ли делить платежи по фондам или указать общий КБК для страховых взносов?	1111111	Какой КБК указывать в уведомлении по исчисленным взносам по страховым взносам: страховые взносы по единому тарифу иди делить на фонды	0,96	no	1	1
7260587	сотрудник отработал в организации 2 месяца, как рассчитать ему отпуск на 14 календарных дней	1111111	сколько дней отпуска полагается сотруднику если он отработал 2 месяца	0,96	no	1	1
7258050	добрый день. какой кбк указывается в уведомление по ЕНП об исчисленных страховых взносов?	1111111	какой КБК указывать в уведомлении об исчисленных налогах для ЕНП при страховых взносах по единому тарифу,	0,98	no	1	1
7251752	Подскажите, 2 НДФЛ за сотрудников за 2022 год в какой форме сдавать?	1111111	по какой форме выдавать 2-ндфл сотруднику за 2022 год	0,98	no	1	1
7258853	Добрый день. Скажите пожалуйста какой КБК указывать в уведомлении об исчисленных суммах налогов по зарплате за январь 2023г. Спасибо.	1111111	какой кбк указывать в уведомлении об исчисленных суммах налогов в 2023 году	0,96	no	1	1
7264194	Добрый день. Подскажите какие КБК и налоги нужно указывать в уведомлении об исчисленных суммах налогов, если взносы на ОПС, ОМС и ВНиМ за декабрь 2022 оплатили в феврале 2023 на ЕНС.	1111111	какие кбк указывать в уведомлении об исчисленных сумм налогов страховых взносов в 2023 году	0,96	no	1	1
7253931	Добрый день! В уведомление по единым платежам кбк- страховые взносы на обязательное пенсионное страхование какое нужно указать	1111111	В Уведомление об оплате страховых взносов нужно указывать единый КБК?	0,96	no	1	1
7253301	Здравствуйте! Как сделать запись в трудовой книжке об увольнении директора в связи с окончанием срока действия трудового договора-?	1111111	запись в трудовую книжку об увольнении в связи с окончанием срока действия трудового договора	0,98	no	1	1
7259388	нужно ли подавать уведомление по земельному и транспортному налогу?	1111111	транспортный налог и земельный налог нужно ли подавать уведомление	0,99	no	1	1
7252730	Добрый день! как уплачивать авансовые платежи по транспортному и земельному налогу.	1111111	нужно ли начислять авансовые платежи по транспортному налогу	0,96	no	1	1
7262714	Здравствуйте, подскажите, пожалуйста, какой Переходный период по ЕНС в 2023	1111111	енп 2023 переходный период	0,95	no	1	1
7254634	лимит по страховым взносам 2023	1111111	лимит взносов на 2023	0,97	no	1	1
7257839	Здравствуйте! Какой срок хранения бухгалтерских документов?	1111111	сроки хранения бухгалтерских документов	0,97	no	1	1
7260123	Добрый день! Какие кбк и период нужно указать в уведомлении об исчисленных суммах налога, пдатим ЕСН одной платежкой	1111111	в 2023 году налоги и взносы перечисляют на новый кбк единого налогового платежа. в налоговой отчетности и уведомлении об исчисленных налогах и взносах для зачета енп указывают отдельные кбк из этого	0,95	no	1	1
7261993	Добрый день! Подскажите, пожалуйста, срок уплаты ежемесячных авансовых платежей по налогу на прибыль в 2023 году	1111111	срок уплаты ежемесячных авансовых платежей по налога на прибыль за 2022 год	1	no	1	1
7253817	Добрый день, подскажите, есть образец уведомления в налоговую по страховым взносам за январь 2023?	1111111	уведомление страховые взносы в налоговую в 2023 году образецдки по начислению и уплате енп	0,96	no	1	1
7259768	декларация по налогу на имущество за 2022г. нулевую сдать, какие обязательные разделы надо сдать?	1111111	надо сдавать декларацию по налогу на имущество нулевую	0,96	no	1	1
7261223	Здравствуйте ¶Как рассчитать компенсацию дней отпуска при увольнении, если сотрудник весь отчетный год был в отпуске без сохранения заработной платы?	1111111	нужно ли при увольнении сотрудника рассчитывать компенсацию за неиспользованный дополнительный отпуск если работник был в отпуске без сохранения заработной платы	0,97	no	1	1
7259570	Добрый день. какой кбк указывать в уведомлении в налоговую по единому налогу при подаче информации по страховым взносам?	1111111	, какой кбк указывается для страховых взносов в Уведомлении об исчисленных налогах ?	0,97	no	1	1
7256076	Добрый день, подскажите пожалуйста в платежном поручении по ЕНП для ИП какой статус плательщика указывать?	1111111	какой статус плательщика указывать в платежном поручении на енп	0,99	no	1	1
7252784	Добрый день, подскажите нужно ли сдавать налоговую декларацию по налогу на имущество за 2022 год?	1111111	нужно ли сдавать декларацию по налогу на имущество за 2022 год	0,99	no	1	1
7251316	Доброе утро! Как подтвердить для налогового учета расходы по командировке?	1111111	налоговый учет командировочных расходов	0,97	no	1	1
7260368	Добрый день. Подскажите пожалуйста, как оформить командировку, если проезд был на личном автотранспорте.	1111111	как оформить командировку на личном транспорте	0,96	no	1	1
7257152	Добрый день! Какие КБК указывать в Уведомлении об исчисленных налогах, если мы заплатили 1)ффомс 2)заплатили взносы на социальное страхование3)заплатили взносы на пенсионное тсрахование. нужно указывать один кбк 18210201000011000160 в уведомлении и все вышеперечисленные взносы одной суммой?	1111111	Как заполнять уведомление по страховым взносам , уплачиваемым в 2023г: общей суммой, по одному КБК?	0,96	no	1	1
7257995	при расчете средней заработной платы какие выплаты учитываются? Учитывается ли в расчете компенсация за неиспользованный отпуск, начисленная при увольнении?	1111111	учитывать ли при расчете среднего заработка единовременную выплату к отпуску	0,95	no	1	1
7253283	Добрый день! Надо ли отправлять уведомление об исчисленных суммах налога ЕНП, оплаченных платежным поручением	1111111	платежное поручение вместо уведомления об исчисленных налогах и взносах для зачета енп	0,95	no	1	1
7264595	Здравствуйте! Подскажите, пожалуйста, как оформляется отпуск по уходу за ребенком? Издается приказ до 1,5 лет или сразу до 3х лет?	1111111	когда составляется приказ об отпуске по уходу за ребенком до 1,5 лет	0,95	no	1	1
7260154	"""Добрый день ! Организация сделала оценку ОС. Выбранный способ ( по учетной политике) """"по первоначальной стоимости"""". Подскажите, пожалуйста, как провести оценку ОС проводками"""	1111111	можно ли сделать переоценку основного средства, если выбрал в учетной политике по первоначальной стоимости	0,95	no	1	1
7255117	Здравствуйте. Где можно уточнить про ведение трудовой книжки нового сотрудника . Электронная или старого образца? При приеме на работу не предоставил СТД-Р. Трудовой книжки тоже нет.	1111111	как принимать новых сотрудников по трудовым книжкам или нет	0,95	no	1	1
7254422	Здравствуйте. Военный пенсионер устраивается на работу. ¶Надо ли заводить бумажную трудовую книжку в 2022г.?	1111111	нужно ли заводить трудовую книжку если устроился новый работник	0,95	no	1	1
7254473	Добрый день. В ноябре 2022 г. был заключен договор лизинга автомобиля, по которому предмет лизинга по налоговому учету учитывается на балансе лизингодателя. А с 2022 г. ведь должны учитывать предмет лизинга на балансе лизингополучателя?	1111111	договор лизинга в 2022 году на чьем балансе должен учитываться предмет лизинга	0,95	no	1	1
7264357	за просрочку со сдачей отчетности 6 ндфл какие штрафы?	1111111	какие штрафы за несвоевременную сдачу 6-ндфл	0,95	no	1	1
7264544	Какой КБК по дивидендам в 2023 г в платежках и в уведомлении об исчисленных налогах?	1111111	кбк для уведомлений по начисленным налогам в 2023	0,95	no	1	1
7260402	эфс-1	1111111	ЕФС-1	0,95	no	1	1
