	text	DATES	FSBU	NK	FZ	KBK	FORMS	KND	NDFL	NPA	MONEY	UNCNOWN_NUM	KEYS	clear_text	lem_text
125	ндфл ставка	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ндфл']	ндфл ставка	ндфл ставка
126	изменения 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	изменения genцифра	изменение депцифра
127	изменения 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	изменения genцифра	изменение депцифра
128	изменения 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	изменения genцифра	изменение депцифра
129	изменения 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	изменения genцифра	изменение депцифра
130	образец заполнения платежных поручений в 2023 году	['2023 г']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	образец заполнения платежных поручений в genдатаоду	образец заполнение платежный поручение в депдатаод
131	образцы заполнения платежных поручений в 2023 году	['2023 г']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	образцы заполнения платежных поручений в genдатаоду	образец заполнение платежный поручение в депдатаод
132	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
133	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
134	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
135	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
136	енп	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['енп']	енп	енс
137	что такое енп	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['енп']	что такое енп	что такой енс
138	платежки 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	платежки genцифра	платежок депцифра
139	платежка 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	платежка genцифра	платежок депцифра
140	изменения 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	изменения genцифра	изменение депцифра
141	изменения 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	изменения genцифра	изменение депцифра
142	чек лист	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	чек лист	чек лист
143	чек-лист	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	чек-лист	чек лист
144	добрый день, подскажите пожалуйста ефс -1 когда нужно сдавать?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['1']	['ефс']	добрый день, подскажите пожалуйста ефс -genцифра когда нужно сдавать?	добрый день подсказывать пожалуйста ефс депцифра когда нужно сдавать
145	когда сдать ефс-1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ефс-1']	[]	когда сдать genцифра	когда сдавать депцифра
146	енп 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['енп']	енп genцифра	енс депцифра
147	енп в 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['енп']	енп в genцифра	енс в депцифра
148	здравствуйте! по каким налогом надо подавать уведомление енп?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['енп']	здравствуйте! по каким налогом надо подавать уведомление енп?	здравствовать по какой налог надо подавать уведомление енс
149	по каким налогам надо подавать уведомления по енп	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['енп']	по каким налогам надо подавать уведомления по енп	по какой налог надо подавать уведомление по енс
150	добрый день. как правильно вшить вкладыш в трудовую книжку?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	добрый день. как правильно вшить вкладыш в трудовую книжку?	добрый день как правильно вшивать вкладыш в трудовой книжка
151	вшить вкладыш в трудовую книжку	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	вшить вкладыш в трудовую книжку	вшивать вкладыш в трудовой книжка
152	ефс-1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ефс-1']	[]	genцифра	депцифра
153	ефс-1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ефс-1']	[]	genцифра	депцифра
154	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
155	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
156	какие документы выдавать при увольнении?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	какие документы выдавать при увольнении?	какой документ выдавать при увольнение
157	какие выдать документы при увольнении	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	какие выдать документы при увольнении	какой выдавать документ при увольнение
158	генератор учетной политики	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	генератор учетной политики	генератор учетный политика
159	генератор учетной политики	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	генератор учетной политики	генератор учетный политика
160	изменения 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	изменения genцифра	изменение депцифра
161	изменения 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	изменения genцифра	изменение депцифра
162	образцы платежек	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	образцы платежек	образец платежка
163	образец платежек	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	образец платежек	образец платежка
164	ефс1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['1']	['ефс']	ефсgenцифра	ефсдепцифра
165	ефс1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['1']	['ефс']	ефсgenцифра	ефсдепцифра
166	изменения 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	изменения genцифра	изменение депцифра
167	изменения 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	изменения genцифра	изменение депцифра
168	срок сдачи сзв- стаж за 2022 год	['2022 г']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	срок сдачи сзв- стаж за genдатаод	срок сдача сзвстаж за депдатаод
169	сзв стаж за 2022 год срок сдачи	['2022 г']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	сзв стаж за genдатаод срок сдачи	сзвстаж за депдатаод срок сдача
170	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
171	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
172	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
173	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
174	изменения 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	изменения genцифра	изменение депцифра
175	изменения 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	изменения genцифра	изменение депцифра
176	добрый день! нужна информация по закрытию ип на усн	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ип', 'усн']	добрый день! нужна информация по закрытию ип на усн	добрый день нужный информация по закрытие ип на усн
177	закрытие ип усн	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ип', 'усн']	закрытие ип усн	закрытие ип усн
178	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
179	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
180	фсбу6	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['6']	['фсбу']	фсбуgenцифра	фсбудепцифра
181	фсбу6	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['6']	['фсбу']	фсбуgenцифра	фсбудепцифра
182	кто платит авансовые платежи по транспортному налогу?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	кто платит авансовые платежи по транспортному налогу?	кто платить авансовый платеж по транспортный налог
183	кто платит авансовые платежи по транспортному налогу	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	кто платит авансовые платежи по транспортному налогу	кто платить авансовый платеж по транспортный налог
184	добрый день! пример положения о премировании	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	добрый день! пример положения о премировании	добрый день пример положение о премирование
185	пример положения о премировании	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	пример положения о премировании	пример положение о премирование
186	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
187	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
188	чек-лист февраль	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	чек-лист февраль	чек лист февраль
189	чек-лист февраль	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	чек-лист февраль	чек лист февраль
190	фсбу 6/2020 основные средства	[]	['фсбу 6/2020']	[]	[]	[]	[]	[]	[]	[]	[]	[]	['фсбу']	genфсбу основные средства	депфсба основной средство
191	фсбу 6/2020 основные средства	[]	['фсбу 6/2020']	[]	[]	[]	[]	[]	[]	[]	[]	[]	['фсбу']	genфсбу основные средства	депфсба основной средство
192	пришлите образец заполнения платежного поручения	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	пришлите образец заполнения платежного поручения	присылать образец заполнение платежный поручение
193	образец заполнения платежного поручения	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	образец заполнения платежного поручения	образец заполнение платежный поручение
194	добрый день. какой процент от зарплаты должен составлять аванс?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	добрый день. какой процент от зарплаты должен составлять аванс?	добрый день какой процент от зарплата должный составлять аванс
195	какой процент от зарплаты должен составлять аванс	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	какой процент от зарплаты должен составлять аванс	какой процент от зарплата должный составлять аванс
196	подскажите пожалуйста, нужно ли подавать уведомление на транспортный налог	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	подскажите пожалуйста, нужно ли подавать уведомление на транспортный налог	подсказывать пожалуйста нужно ли подавать уведомление на транспортный налог
197	нужно ли подавать уведомление по транспортному налогу	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	нужно ли подавать уведомление по транспортному налогу	нужно ли подавать уведомление по транспортный налог
198	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
199	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
200	образец заполнения платежных поручений в 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	образец заполнения платежных поручений в genцифра	образец заполнение платежный поручение в депцифра
201	платежное поручение 2023 образец заполнения	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	платежное поручение genцифра образец заполнения	платежный поручение депцифра образец заполнение
202	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
203	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
204	календарь бухгалтера	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	календарь бухгалтера	календарь бухгалтер
205	календарь для бухгалтера	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	календарь для бухгалтера	календарь для бухгалтер
206	новости за неделю	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	новости за неделю	новость за неделя
207	новости недели	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	новости недели	новость неделя
208	ндфл 2023г	['2023г']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ндфл']	ндфл genдата	ндфл депдат
209	ндфл 2023г	['2023г']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ндфл']	ндфл genдата	ндфл депдат
210	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
211	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
212	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
213	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
214	мрот	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	мрот	мрот
215	мрот	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	мрот	мрот
216	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
217	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
218	псв	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	псв	псв
219	псв	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	псв	псв
220	платежки 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	платежки genцифра	платежок депцифра
221	платежка 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	платежка genцифра	платежок депцифра
222	test	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	test	test
223	test	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	test	test
224	изменения 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	изменения genцифра	изменение депцифра
225	изменения 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	изменения genцифра	изменение депцифра
226	усн	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['усн']	усн	усн
227	усн	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['усн']	усн	усн
228	какой кбк указать в уведомлении по страховым взносам	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	какой кбк указать в уведомлении по страховым взносам	какой кбк указывать в уведомление по страховой взнос
229	какой кбк указывать в уведомлении для страховых взносов	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	какой кбк указывать в уведомлении для страховых взносов	какой кбк указывать в уведомление для страховой взнос
230	кбк ?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	кбк ?	кбк
231	кбк	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	кбк	кбк
232	6-ндфл за год	[]	[]	[]	[]	[]	[]	[]	['6-ндфл']	[]	[]	[]	['ндфл']	genндфл за год	депндфл за год
233	6-ндфл за год	[]	[]	[]	[]	[]	[]	[]	['6-ндфл']	[]	[]	[]	['ндфл']	genндфл за год	депндфл за год
234	как законно снизить налоги	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	как законно снизить налоги	как законно снижать налог
235	как законно снизить налоги	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	как законно снизить налоги	как законно снижать налог
236	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
237	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
238	добрый день! подскажите, пожалуйста, какой кбк надо указывать в уведомлении на страховые взносы	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	добрый день! подскажите, пожалуйста, какой кбк надо указывать в уведомлении на страховые взносы	добрый день подсказывать пожалуйста какой кбк надо указывать в уведомление на страховой взнос
239	какой кбк надо указать в уведомлении по страховым взносам?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	какой кбк надо указать в уведомлении по страховым взносам?	какой кбк надо указывать в уведомление по страховой взнос
240	изменения 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	изменения genцифра	изменение депцифра
241	изменения 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	изменения genцифра	изменение депцифра
242	енп	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['енп']	енп	енс
243	что такое енп	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['енп']	что такое енп	что такой енс
244	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
245	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
246	как учесть опоздавшую первичку	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	как учесть опоздавшую первичку	как учитывать опаздывать первичка
247	опоздавшая первичка как учитывать	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	опоздавшая первичка как учитывать	опаздывать первичка как учитывать
248	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
249	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
250	добрый день. какой кбк указать в уведомлении страховых взносов за январь 2023 ?	['январь 2023']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	добрый день. какой кбк указать в уведомлении страховых взносов за genдата ?	добрый день какой кбк указывать в уведомление страховой взнос за депдат
251	какой кбк указать в уведомлении по страховым взносам за январь 2023	['январь 2023']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	какой кбк указать в уведомлении по страховым взносам за genдата	какой кбк указывать в уведомление по страховой взнос за депдат
252	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
253	ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфл genцифра	ндфл депцифра
254	образец письма для оплаты третьим лицом	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	образец письма для оплаты третьим лицом	образец письмо для оплата третий лицо
255	образец письма на оплату третьих лиц	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	образец письма на оплату третьих лиц	образец письмо на оплата третий лицо
256	здравствуйте, подскажите как отправить сотрудника в командировку	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	здравствуйте, подскажите как отправить сотрудника в командировку	здравствовать подсказывать как отправлять сотрудник в командировка
257	командировка сотрудника	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	командировка сотрудника	командировка сотрудник
258	мрот 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	мрот genцифра	мрот депцифра
259	мрот 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	мрот genцифра	мрот депцифра
260	енп 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['енп']	енп genцифра	енс депцифра
261	енп в 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['енп']	енп в genцифра	енс в депцифра
262	енп 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['енп']	енп genцифра	енс депцифра
263	енп в 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['енп']	енп в genцифра	енс в депцифра
264	новости за неделю	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	новости за неделю	новость за неделя
265	новости недели	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	новости недели	новость неделя
266	платежки 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	платежки genцифра	платежок депцифра
267	платежка 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	платежка genцифра	платежок депцифра
268	добрый день! изменения 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	добрый день! изменения genцифра	добрый день изменение депцифра
269	изменения 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	изменения genцифра	изменение депцифра
270	здравствуйте!ип на патенте.	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ип']	здравствуйте!ип на патенте.	здравствовать ип на патент
271	ип на патенте	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ип']	ип на патенте	ип на патент
272	генератор учетной политики	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	генератор учетной политики	генератор учетный политика
273	генератор учетной политики	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	генератор учетной политики	генератор учетный политика
274	платежное поручение	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	платежное поручение	платежный поручение
275	платежное поручение	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	платежное поручение	платежный поручение
276	добрый день! нужен учет пеней за неисполнение контракта?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	добрый день! нужен учет пеней за неисполнение контракта?	добрый день нужный учет пеня за неисполнение контракт
277	учет пени за неисполнение контракта	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	учет пени за неисполнение контракта	учет пеня за неисполнение контракт
278	изменения 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	изменения genцифра	изменение депцифра
279	изменения 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	[]	изменения genцифра	изменение депцифра
280	учетная политика	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	учетная политика	учетный политика
281	что такое учетная политика	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	что такое учетная политика	что такой учетный политика
282	нужно ли отправлять уведомление по земельному налогу	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	нужно ли отправлять уведомление по земельному налогу	нужно ли отправлять уведомление по земельный налог
283	налог земельный уведомление	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['земельный']	налог земельный уведомление	налог земельный уведомление
284	фсбу 6	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['6']	['фсбу']	фсбу genцифра	фсба депцифра
285	фсбу 6	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['6']	['фсбу']	фсбу genцифра	фсба депцифра
286	ндфл2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфлgenцифра	ндфлдепцифра
287	ндфл2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	ндфлgenцифра	ндфлдепцифра
288	благодарю вас!!!	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	благодарю вас!!!	благодарить вы
289	благодарю вас))	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	благодарю вас))	благодарить вы
290	генератор учетной политики	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	генератор учетной политики	генератор учетный политика
291	генератор учетной политики	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	генератор учетной политики	генератор учетный политика
292	налог ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	налог ндфл genцифра	налог ндфл депцифра
293	налог ндфл 2023	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2023']	['ндфл']	налог ндфл genцифра	налог ндфл депцифра
294	годовой отчет 2022	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2022']	[]	годовой отчет genцифра	годовой отчет депцифра
295	годовой отчет 2022	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2022']	[]	годовой отчет genцифра	годовой отчет депцифра
296	ефс1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['1']	['ефс']	ефсgenцифра	ефсдепцифра
297	ефс1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['1']	['ефс']	ефсgenцифра	ефсдепцифра
298	ндфл за 2023 год	['2023 г']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ндфл']	ндфл за genдатаод	ндфл за депдатаод
299	ндфл в 2023 году	['2023 г']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ндфл']	ндфл в genдатаоду	ндфл в депдатаод
300	добрый день подскажите срок сдачи декларации усн?	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['усн']	добрый день подскажите срок сдачи декларации усн?	добрый день подсказывать срок сдача декларация усн
301	декларация по усн срок сдачи	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['усн']	декларация по усн срок сдачи	декларация по усн срок сдача
302	новые правила для путевых листов с 2023 года	['2023 г']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	новые правила для путевых листов с genдатаода	новый правило для путевой лист с депдатаод
303	новые правила для путевых листов с 2023 года	['2023 г']	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	новые правила для путевых листов с genдатаода	новый правило для путевой лист с депдатаод
304	енп	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['енп']	енп	енс
305	что такое енп	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['енп']	что такое енп	что такой енс
306	учетная политика 2022	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2022']	[]	учетная политика genцифра	учетный политика депцифра
307	учетная политика на 2022	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['2022']	[]	учетная политика на genцифра	учетный политика на депцифра
308	ип	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ип']	ип	ип
309	ип	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['ип']	ип	ип
310	замена сзвм	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	замена сзвм	замена сзвм
311	замена сзвм	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	замена сзвм	замена сзвм
312	как заполнить платежное поручение по енп	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['енп']	как заполнить платежное поручение по енп	как заполнять платежный поручение по енс
313	как заполнить платежное поручение по енп	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['енп']	как заполнить платежное поручение по енп	как заполнять платежный поручение по енс
314	енп	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['енп']	енп	енс
315	что такое енп	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	['енп']	что такое енп	что такой енс
316	чек лист	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	чек лист	чек лист
317	чек-лист	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	чек-лист	чек лист
